id,category,question,choice_a,choice_b,choice_c,choice_d,correct,explanation
1,日本,日本で最初に世界遺産に登録された文化遺産はどれですか？,古都京都の文化財,法隆寺地域の仏教建造物,姫路城,厳島神社,b,法隆寺地域の仏教建造物は1993年に姫路城とともに日本初の世界遺産として登録されました。
2,日本,日本で最初に世界遺産に登録された自然遺産はどれですか？,知床,白神山地,屋久島,小笠原諸島,b,白神山地と屋久島が1993年に日本初の世界自然遺産として同時登録されました。
3,日本,2023年時点で日本の世界遺産の総数はいくつですか？,21,23,25,27,c,2023年時点で日本には25件の世界遺産があります（文化遺産20件、自然遺産5件）。
4,日本,「神宿る島」宗像・沖ノ島と関連遺産群が位置する都道府県はどこですか？,長崎県,福岡県,佐賀県,熊本県,b,福岡県に位置し、2017年に世界文化遺産に登録されました。
5,日本,富士山が世界遺産に登録された際の正式名称は？,富士山-信仰と芸術の源泉,富士山-日本の象徴,富士山-神聖なる山,富士山-霊峰と文化,a,2013年に「富士山-信仰の対象と芸術の源泉」として文化遺産に登録されました。
6,日本,日光の社寺に含まれる建造物はどれですか？,東照宮,延暦寺,金閣寺,平等院,a,日光東照宮、日光二荒山神社、日光山輪王寺の二社一寺が1999年に登録されました。
7,日本,原爆ドームが世界遺産に登録された年はいつですか？,1994年,1996年,1998年,2000年,b,1996年に平和のシンボルとして世界文化遺産に登録されました。
8,日本,石見銀山遺跡とその文化的景観が位置する県はどこですか？,鳥取県,島根県,岡山県,広島県,b,島根県大田市にあり、2007年に世界文化遺産に登録されました。
9,日本,「長崎と天草地方の潜伏キリシタン関連遺産」が登録された年は？,2016年,2017年,2018年,2019年,c,2018年に江戸時代の禁教期の信仰の証として登録されました。
10,日本,奄美大島、徳之島、沖縄島北部及び西表島が登録された年は？,2019年,2020年,2021年,2022年,c,2021年に世界自然遺産として登録されました。
11,エジプト,古代エジプト文明で最大のピラミッドは誰の墓ですか？,クフ王,カフラー王,メンカウラー王,ジョセル王,a,ギザの三大ピラミッドの中で最大のクフ王のピラミッドは高さ約147mです。
12,エジプト,スフィンクスの顔のモデルとされているファラオは誰ですか？,クフ王,カフラー王,ラムセス2世,ツタンカーメン,b,ギザの大スフィンクスはカフラー王の顔をモデルにしたとされています。
13,エジプト,アブ・シンベル神殿を建造したファラオは誰ですか？,クフ王,ツタンカーメン,ラムセス2世,クレオパトラ,c,ラムセス2世が紀元前13世紀に建造した巨大な岩窟神殿です。
14,エジプト,カルナック神殿はどの神を祀っていますか？,ラー,アメン,オシリス,ホルス,b,古代エジプトの主神アメン神を祀る巨大な神殿複合体です。
15,エジプト,ナイル川の長さは世界で何番目ですか？,1番目,2番目,3番目,4番目,a,ナイル川は全長約6650kmで世界最長の川です。
16,イタリア,ローマ歴史地区の中心にある円形闘技場の名前は？,パルテノン神殿,コロッセオ,パンテオン,フォロ・ロマーノ,b,コロッセオは西暦80年に完成したローマ帝国時代の円形闘技場です。
17,イタリア,ピサの斜塔がある広場の名前は何ですか？,ドゥオモ広場,サン・マルコ広場,ナヴォーナ広場,スペイン広場,a,ドゥオモ広場（奇跡の広場）にピサの斜塔があります。
18,イタリア,ヴェネツィアの中心にある広場の名前は？,ドゥオモ広場,サン・マルコ広場,シニョーリア広場,ポポロ広場,b,サン・マルコ広場はヴェネツィアの政治と宗教の中心地でした。
19,イタリア,最後の晩餐を描いたレオナルド・ダ・ヴィンチの壁画がある都市は？,ローマ,ミラノ,フィレンツェ,ヴェネツィア,b,ミラノのサンタ・マリア・デッレ・グラツィエ教会にあります。
20,イタリア,ポンペイを埋没させた火山の名前は？,エトナ山,ヴェスヴィオ山,ストロンボリ山,ブルカノ山,b,西暦79年のヴェスヴィオ山の噴火でポンペイは埋没しました。
21,フランス,パリのセーヌ河岸に含まれる建造物はどれですか？,凱旋門,エッフェル塔,ノートルダム大聖堂,サクレ・クール寺院,c,ノートルダム大聖堂はセーヌ河岸の世界遺産に含まれます。
22,フランス,ヴェルサイユ宮殿を建設した王は誰ですか？,ルイ13世,ルイ14世,ルイ15世,ルイ16世,b,太陽王ルイ14世が17世紀に建設した豪華な宮殿です。
23,フランス,モン・サン＝ミシェルは何で有名ですか？,ワイン生産,干潮時に陸続きになる修道院,古代ローマ遺跡,先史時代の洞窟壁画,b,潮の満ち引きで島になったり陸続きになったりする修道院です。
24,フランス,シャンボール城があるロワール渓谷の城は何世紀に多く建てられましたか？,13世紀,14世紀,15-16世紀,17世紀,c,ルネサンス期の15-16世紀に多くの城が建てられました。
25,フランス,アヴィニョンの歴史地区で有名な建造物は？,教皇宮殿,王宮,闘牛場,円形劇場,a,14世紀に教皇庁が置かれた教皇宮殿があります。
26,スペイン,サグラダ・ファミリアを設計した建築家は誰ですか？,ピカソ,ガウディ,ダリ,ミロ,b,アントニ・ガウディが設計し、1882年から建設が続いています。
27,スペイン,アルハンブラ宮殿があるスペインの都市はどこですか？,マドリード,バルセロナ,グラナダ,セビリア,c,グラナダにあるイスラム建築の傑作です。
28,スペイン,サンティアゴ・デ・コンポステーラの巡礼路の終着点はどこですか？,マドリード,バルセロナ,サンティアゴ・デ・コンポステーラ,セビリア,c,中世から続くキリスト教の巡礼路です。
29,スペイン,コルドバの歴史地区にあるイスラム建築は？,メスキータ,アルカサル,ヒラルダの塔,グエル公園,a,メスキータ（大モスク）は後に大聖堂に改築されました。
30,スペイン,アントニ・ガウディの作品群があるのはどの都市ですか？,マドリード,バルセロナ,セビリア,トレド,b,バルセロナにガウディの多くの作品があります。
31,ギリシャ,アテネのアクロポリスにある神殿の名前は？,パルテノン神殿,ゼウス神殿,アポロン神殿,ポセイドン神殿,a,紀元前5世紀に建てられたアテナ女神を祀る神殿です。
32,ギリシャ,古代オリンピック発祥の地はどこですか？,アテネ,スパルタ,オリンピア,デルフィ,c,紀元前776年からオリンピアで競技会が開催されました。
33,ギリシャ,デルフィの古代遺跡で有名なのは何ですか？,オリンピック競技場,アポロンの神託所,アレクサンドロス大王の墓,ミノタウロスの迷宮,b,古代ギリシャで最も権威ある神託所でした。
34,ギリシャ,メテオラの修道院群の特徴は何ですか？,地下に建設,海上に建設,奇岩の上に建設,樹上に建設,c,巨大な岩の上に建てられた修道院群です。
35,ギリシャ,クノッソス宮殿遺跡がある島はどこですか？,ロードス島,サントリーニ島,クレタ島,コルフ島,c,クレタ島にあるミノア文明の宮殿遺跡です。
36,イギリス,ストーンヘンジが建造されたのはいつ頃ですか？,紀元前3000年頃,紀元前1000年頃,紀元1000年頃,紀元1500年頃,a,新石器時代から青銅器時代に建造された巨石記念物です。
